max_syn_length	min_syn_length	avg_syn_length
16	0	5.2
20	0	3.608695652173913
25	0	4.6
24	2	8.625
14	0	4.958333333333333
9	0	2.3333333333333335
75	0	16.68421052631579
25	0	7.846153846153846
22	0	6.421052631578948
36	0	6.636363636363637
37	0	6.222222222222222
18	0	3.5625
37	0	7.583333333333333
16	0	4.0476190476190474
13	0	4.9
14	0	4.785714285714286
37	0	5.590909090909091
30	0	6.714285714285714
12	0	3.4545454545454546
21	0	5.2
16	0	6.142857142857143
37	0	5.423076923076923
24	0	8.428571428571429
4	0	0.36363636363636365
43	0	10.444444444444445
34	0	5.92
20	0	2.7222222222222223
52	0	12.857142857142858
36	0	3.88
39	0	9.807692307692308
14	0	4.7727272727272725
34	0	8.875
17	0	8.454545454545455
37	0	5.894736842105263
14	0	4.238095238095238
42	0	4.956521739130435
13	0	4.1
41	0	8.045454545454545
34	0	6.0
16	0	5.411764705882353
14	0	3.5
19	0	5.517241379310345
41	0	5.6875
36	0	7.0625
12	0	2.9
0	0	0.0
13	0	3.411764705882353
6	0	1.736842105263158
14	0	3.4285714285714284
16	0	5.428571428571429
36	0	8.15
52	0	7.466666666666667
24	0	8.578947368421053
7	3	4.25
38	0	8.5
14	0	5.0476190476190474
22	0	6.2
37	0	5.2
50	0	6.380952380952381
27	0	7.181818181818182
20	0	4.481481481481482
36	0	5.65
37	0	5.45
18	0	5.571428571428571
51	0	6.933333333333334
19	0	4.392857142857143
14	0	5.888888888888889
37	0	7.833333333333333
14	0	3.473684210526316
12	0	3.176470588235294
20	0	5.714285714285714
14	0	3.0625
16	0	3.111111111111111
18	0	2.1904761904761907
25	0	4.823529411764706
10	0	4.0
15	0	5.043478260869565
20	0	5.0
21	0	5.619047619047619
51	0	13.25
22	0	4.4
52	0	8.421052631578947
17	0	4.75
52	0	8.0625
75	0	15.666666666666666
34	0	7.2
50	0	12.285714285714286
18	0	4.4
8	0	2.0
21	0	9.11111111111111
34	0	7.764705882352941
20	0	5.809523809523809
27	0	6.384615384615385
22	0	4.65
28	0	4.1923076923076925
19	0	4.5625
21	0	5.923076923076923
21	0	4.4
19	0	8.285714285714286
35	0	7.25
34	0	7.352941176470588
36	0	7.857142857142857
36	0	4.625
20	0	4.588235294117647
20	0	5.230769230769231
50	0	7.333333333333333
45	0	6.75
20	0	5.142857142857143
35	0	5.793103448275862
20	0	8.666666666666666
44	0	6.666666666666667
9	0	3.0
44	0	6.642857142857143
19	0	2.9375
22	0	6.777777777777778
9	0	4.666666666666667
18	0	4.909090909090909
36	0	10.571428571428571
7	0	2.0
14	0	2.95
19	0	2.7857142857142856
34	0	4.44
30	0	5.0
28	0	8.0
10	0	2.4
11	0	4.1875
13	0	3.7222222222222223
36	0	5.928571428571429
16	0	3.3333333333333335
37	0	11.6
15	0	2.7857142857142856
27	0	8.25
7	0	2.625
20	0	4.583333333333333
35	0	4.909090909090909
16	0	4.85
14	0	4.4375
20	0	5.608695652173913
27	0	4.625
4	0	1.3333333333333333
34	0	8.944444444444445
37	0	6.785714285714286
44	0	6.333333333333333
13	0	3.25
15	0	1.8
25	0	3.619047619047619
6	0	2.75
23	0	7.041666666666667
37	0	7.7368421052631575
70	0	11.5
29	0	5.705882352941177
34	0	6.133333333333334
37	0	6.481481481481482
35	0	8.4
20	0	3.4166666666666665
52	0	6.916666666666667
12	0	1.7777777777777777
22	0	6.535714285714286
13	0	2.6666666666666665
16	0	4.291666666666667
33	0	7.777777777777778
10	0	3.235294117647059
22	0	4.9375
50	0	10.882352941176471
10	0	2.8181818181818183
19	0	3.65
14	0	4.5
15	0	4.217391304347826
22	0	5.444444444444445
29	0	8.333333333333334
10	0	2.909090909090909
14	0	5.0
17	0	4.235294117647059
16	0	3.4
7	0	2.263157894736842
51	0	7.722222222222222
13	0	5.909090909090909
14	1	5.666666666666667
14	0	3.1666666666666665
52	0	6.076923076923077
35	0	6.714285714285714
19	0	9.444444444444445
36	0	8.0
22	0	7.0
8	0	2.5454545454545454
13	0	2.9
22	0	4.75
52	0	7.32
13	0	3.9583333333333335
24	0	6.111111111111111
12	0	4.666666666666667
19	0	5.071428571428571
36	0	8.473684210526315
17	0	3.625
24	0	6.461538461538462
14	0	4.2727272727272725
35	0	5.3076923076923075
15	0	2.4444444444444446
38	0	7.181818181818182
20	0	2.5789473684210527
20	0	6.523809523809524
36	0	7.9375
15	0	3.48
10	0	5.333333333333333
13	0	5.333333333333333
24	0	3.888888888888889
12	0	4.153846153846154
34	0	6.0
23	0	5.375
36	0	7.44
6	0	2.8
20	0	4.714285714285714
34	0	5.913043478260869
20	0	2.7142857142857144
26	0	5.157894736842105
11	0	4.666666666666667
13	0	3.0
17	0	5.5
21	0	3.375
12	0	4.125
14	0	4.4375
50	0	6.368421052631579
36	0	4.8
23	0	9.8125
15	0	6.045454545454546
15	0	4.0
22	0	6.625
37	0	6.0
14	0	5.8
25	0	6.571428571428571
25	0	7.0
22	0	6.842105263157895
18	0	5.333333333333333
14	0	5.090909090909091
35	0	6.666666666666667
21	0	5.75
42	0	8.619047619047619
37	0	4.9
14	0	4.375
21	0	6.375
6	0	0.46153846153846156
27	0	7.608695652173913
18	0	5.181818181818182
34	0	6.6
28	0	5.714285714285714
16	0	4.411764705882353
57	0	8.782608695652174
15	0	2.5
27	0	7.666666666666667
36	0	7.777777777777778
16	0	5.833333333333333
16	0	3.9
15	0	5.0
14	0	3.2142857142857144
52	0	11.692307692307692
70	0	6.842105263157895
52	0	8.588235294117647
14	0	2.466666666666667
21	0	6.0
22	0	6.6
14	0	7.142857142857143
18	0	6.2631578947368425
45	0	8.136363636363637
34	0	8.75
38	0	11.166666666666666
51	0	8.68421052631579
12	0	3.6923076923076925
15	0	3.8333333333333335
15	0	4.538461538461538
8	0	3.0
12	0	2.8333333333333335
13	0	4.0
18	0	4.0
20	0	4.75
36	0	6.538461538461538
17	0	3.1538461538461537
20	0	5.0
14	0	6.714285714285714
51	0	7.647058823529412
18	0	4.230769230769231
51	0	9.76923076923077
33	0	7.25
35	0	6.875
12	0	2.8260869565217392
37	0	8.576923076923077
17	0	2.9473684210526314
16	0	3.6
52	0	11.153846153846153
13	0	3.6153846153846154
34	0	6.590909090909091
34	0	4.555555555555555
16	0	3.8333333333333335
20	0	5.461538461538462
17	0	7.75
47	0	4.476190476190476
21	0	4.3076923076923075
11	0	5.583333333333333
37	0	8.75
5	0	2.5
34	0	9.25
9	0	2.923076923076923
34	0	7.166666666666667
25	0	6.260869565217392
14	0	3.5185185185185186
12	0	2.736842105263158
44	0	7.5
37	0	6.8
11	4	6.75
18	0	5.818181818181818
26	0	5.5625
10	0	3.0
13	0	2.761904761904762
34	0	9.818181818181818
44	0	7.266666666666667
23	0	6.333333333333333
16	0	2.6923076923076925
23	0	5.5
18	0	6.375
45	0	7.0
34	0	5.916666666666667
17	0	5.636363636363637
12	0	3.1666666666666665
17	0	4.125
26	0	5.2105263157894735
25	0	5.666666666666667
38	0	7.0
15	0	5.555555555555555
37	0	8.045454545454545
70	0	9.409090909090908
11	0	3.4285714285714284
37	0	5.4
13	0	2.6923076923076925
34	0	6.5
16	0	8.166666666666666
14	0	6.5
20	0	4.166666666666667
15	0	4.3478260869565215
29	0	6.157894736842105
14	0	5.5
22	0	3.5714285714285716
10	0	1.7272727272727273
25	0	8.692307692307692
26	0	5.277777777777778
51	0	5.954545454545454
36	0	4.428571428571429
22	0	4.380952380952381
7	0	2.4444444444444446
10	0	2.6
17	0	4.166666666666667
