char_count	word_count	wordmean_len
100	12	7.333333333333333
126	21	4.904761904761905
54	9	5.111111111111111
35	7	4.142857142857143
125	23	4.478260869565218
63	8	7.0
109	19	4.7894736842105265
59	12	4.0
108	18	5.055555555555555
68	11	5.2727272727272725
127	27	3.740740740740741
108	15	6.266666666666667
80	12	5.75
127	20	5.4
50	9	4.666666666666667
75	13	4.846153846153846
127	22	4.818181818181818
134	25	4.4
80	11	6.363636363636363
115	21	4.523809523809524
90	13	6.0
139	25	4.6
37	7	4.428571428571429
138	11	11.636363636363637
74	10	6.5
138	22	5.318181818181818
159	14	10.428571428571429
79	7	10.428571428571429
139	25	4.6
132	25	4.32
119	20	5.0
39	8	4.0
59	11	4.454545454545454
128	19	5.7894736842105265
129	20	5.45
136	20	5.8
128	16	7.0
121	21	4.809523809523809
46	8	4.875
86	17	4.0588235294117645
98	11	8.0
126	27	3.6666666666666665
117	12	8.75
93	17	4.470588235294118
108	10	9.8
8	2	3.5
126	15	7.466666666666667
134	16	7.4375
102	14	6.357142857142857
63	12	4.333333333333333
100	20	4.05
83	13	5.461538461538462
92	19	3.8947368421052633
111	16	6.0
82	11	6.545454545454546
133	19	6.052631578947368
123	17	6.294117647058823
110	18	5.166666666666667
130	21	5.238095238095238
105	22	3.8181818181818183
138	27	4.148148148148148
101	18	4.666666666666667
113	17	5.647058823529412
124	18	5.833333333333333
74	14	4.357142857142857
134	24	4.625
100	18	4.611111111111111
138	24	4.791666666666667
131	19	5.894736842105263
117	14	7.357142857142857
40	8	3.875
98	11	7.909090909090909
84	11	6.7272727272727275
132	18	6.388888888888889
132	17	6.764705882352941
43	6	6.166666666666667
136	22	5.2272727272727275
123	20	5.15
139	21	5.666666666666667
54	8	5.875
56	9	5.333333333333333
119	14	7.571428571428571
122	23	4.3478260869565215
81	12	5.833333333333333
42	6	6.166666666666667
72	2	35.5
68	16	3.3125
83	6	13.0
81	7	10.714285714285714
48	8	5.125
87	17	4.117647058823529
113	19	5.0
76	12	5.333333333333333
137	17	7.117647058823529
132	23	4.739130434782608
85	12	6.166666666666667
84	13	5.461538461538462
40	5	7.2
34	7	4.0
106	20	4.35
77	17	3.588235294117647
81	14	4.714285714285714
138	24	4.791666666666667
97	16	5.125
87	13	5.6923076923076925
137	28	3.9285714285714284
139	24	4.833333333333333
90	14	5.5
191	26	6.384615384615385
44	6	6.5
132	24	4.5
82	9	8.222222222222221
86	14	5.214285714285714
95	13	6.3076923076923075
41	9	3.6666666666666665
16	3	4.666666666666667
78	11	6.181818181818182
80	14	4.785714285714286
114	15	6.6
173	20	7.7
99	8	11.5
140	22	5.409090909090909
67	9	6.555555555555555
50	11	3.6363636363636362
134	17	6.882352941176471
76	15	4.133333333333334
119	15	7.0
131	27	3.888888888888889
60	12	4.0
60	14	3.357142857142857
70	11	5.363636363636363
71	16	3.5
45	6	6.666666666666667
75	9	7.444444444444445
121	22	4.545454545454546
134	19	6.105263157894737
103	15	5.933333333333334
134	18	6.444444444444445
111	16	5.9375
41	6	5.833333333333333
80	18	3.5
65	14	3.7142857142857144
102	17	5.0588235294117645
22	4	4.5
51	10	4.2
94	19	3.9473684210526314
27	3	8.333333333333334
125	21	5.0
117	16	6.375
100	16	5.3125
110	15	6.4
76	2	37.5
155	27	4.7407407407407405
56	10	4.7
102	12	7.583333333333333
65	12	4.5
52	8	5.625
